ID,CBOE_ID,CndNme,Office,Incumbent_Challenger,Committee_ID,Committee_Name,Committee_Type
1,36,"PROCO ""JOE"" MORENO",1st,Incumbent,20809,Friends for Proco Joe Moreno,Candidate Committee
2,36,"PROCO ""JOE"" MORENO",1st,Incumbent,33944,1st Ward First Inc.,PAC
3,36,"PROCO ""JOE"" MORENO",1st,Incumbent,33914,1st Ward Independent Democratic Party Committee,Ward Committee
4,64,DANIEL LA SPATA,1st,Challenger,34616,Neighbors for Daniel La Spata,Candidate Committee
5,85,BRIAN HOPKINS,2nd,Incumbent,25653,Hopkins for Chicago,Candidate Committee
6,114,"PATRICIA ""PAT"" DOWELL",3rd,Incumbent,16892,Citizens for Pat Dowell,Candidate Committee
7,119,ALEXANDRIA WILLIS,3rd,Challenger,34745,Friends of Alexandria,Candidate Committee
8,72,EBONY D. LUCAS,4th,Challenger,32094,Committee to Elect Ebony Lucas,Candidate Committee
9,98,SOPHIA KING,4th,Incumbent,32052,Friends of Sophia King,Candidate Committee
10,81,LESLIE A. HAIRSTON,5th,Incumbent,14216,Friends of Leslie A Hairston,Candidate Committee
11,81,LESLIE A. HAIRSTON,5th,Incumbent,14992,Fifth Ward Regular Democratic Org,Ward Committee
12,168,WILLIAM CALLOWAY,5th,Challenger,35100,Friends for William Calloway,Candidate Committee
13,209,GABRIEL PIEMONTE,5th,Challenger,34236,Committee to Elect Gabriel Piemonte,Candidate Committee
14,93,RODERICK T. SAWYER,6th,Incumbent,22875,Friends of Roderick T Sawyer,Candidate Committee
15,93,RODERICK T. SAWYER,6th,Incumbent,24149,6th Ward Democratic Org,Ward Committee
16,152,RICHARD A. WOOTEN,6th,Challenger,23114,Citizens to Elect Richard A. Wooten,Candidate Committee
17,185,DEBORAH A. FOSTER-BONNER,6th,Challenger,34920,Friends of Deborah Foster-Bonner,Candidate Committee
18,97,GREGORY I. MITCHELL,7th,Incumbent,22816,Friends of Greg Mitchell,Candidate Committee
