CndID,CndNme,OffNme,first_name,middle_name,last_name,suffix
18,JERRY JOYCE,For Mayor,Jerry,,Joyce,
13,PAUL VALLAS,For Mayor,Paul,,Vallas,
1,WILLIE L. WILSON,For Mayor,Willie,L.,Wilson,
7,TONI PRECKWINKLE,For Mayor,Toni,,Preckwinkle,
129,WILLIAM M. DALEY,For Mayor,William,M.,Daley,
133,GARRY MCCARTHY,For Mayor,Garry,,McCarthy,
132,DOROTHY A. BROWN COOK,For Mayor,Dorothy,A.,Brown,
134,GERY CHICO,For Mayor,Gery,,Chico,
159,SUSANA A. MENDOZA,For Mayor,Susana,A.,Mendoza,
158,AMARA ENYIA,For Mayor,Amara,,Enyia,
167,LA SHAWN K. FORD,For Mayor,La Shawn,K.,Ford,
170,NEAL S√ÅLES-GRIFFIN,For Mayor,Neal,,Sáles-Griffin,
175,LORI LIGHTFOOT,For Mayor,Lori,,Lightfoot,
220,"ROBERT ""BOB"" FIORETTI",For Mayor,Robert,"""Bob""",Fioretti,
224,JOHN KENNETH KOZLAR,For Mayor,John,Kenneth,Kozlar,
11,ANNA M. VALENCIA,For City Clerk,Anna,M.,Valencia,
14,PATRICIA HORTON,For City Clerk,Patricia,,Horton,
205,"ELIZABETH ""BETTY"" ARIAS-IBARRA",For City Clerk,Elizabeth,"""Betty""",Arias-Ibarra,
74,MELISSA CONYEARS-ERVIN,For City Treasurer,Melissa,,Conyears-Ervin,
179,AMEYA PAWAR,For City Treasurer,Ameya,,Pawar,
172,PETER GARIEPY,For City Treasurer,Peter,,Gariepy,
36,"PROCO ""JOE"" MORENO",For Alderman 1st Ward,Proco,"""Joe""",Moreno,
64,DANIEL LA SPATA,For Alderman 1st Ward,Daniel,,La Spata,
169,TREVOR JOSEPH GRANT,For Alderman 1st Ward,Trevor,Joseph,Grant,
85,BRIAN HOPKINS,For Alderman 2nd Ward,Brian,,Hopkins,
114,"PATRICIA ""PAT"" DOWELL",For Alderman 3rd Ward,Patricia,"""Pat""",Dowell,
119,ALEXANDRIA WILLIS,For Alderman 3rd Ward,Alexandria,,Willis,
98,SOPHIA KING,For Alderman 4th Ward,Sophia,,King,
72,EBONY D. LUCAS,For Alderman 4th Ward,Ebony,D.,Lucas,
81,LESLIE A. HAIRSTON,For Alderman 5th Ward,Leslie,A. ,Hairston,
168,WILLIAM CALLOWAY,For Alderman 5th Ward,William,,Calloway,
209,GABRIEL PIEMONTE,For Alderman 5th Ward,Gabriel,,Piemonte,
93,RODERICK T. SAWYER,For Alderman 6th Ward,Roderick,T.,Sawyer,
152,RICHARD A. WOOTEN,For Alderman 6th Ward,Richard,A.,Wooten,
185,DEBORAH A. FOSTER-BONNER,For Alderman 6th Ward,Deborah,A.,Foster-Bonner,
